Date,CrudeOil,SPX,RigCount,API,FieldProduction,RefinerNetInput,OperableCapacity,Imports,StocksExcludingSPR,NonCommercialLong,NonCommercialShort,CommercialLong,CommercialShort,TotalLong,TotalShort,NonReportablePositionsLong,NonReportablePositionsShort,OpenInterest
10/14/2016,0.01858,-0.74959,0.02863,1.71053,-0.00165,-0.01184,-0.00588,-0.13812,-0.01119,-0.02875,-0.08896,-0.05694,-0.03591,-0.06312,-0.05995,-0.03504,-0.10383,-0.06194
10/21/2016,0.00357,-0.11396,0.02597,1.79167,-0.0047,0.0117,0.00701,0.01554,-0.00118,-0.02689,-0.08882,-0.00376,0.00318,0.00556,0.01033,0.05734,-0.04794,0.00781
10/28/2016,-0.01976,0.00421,0.00723,0.48387,-0.00211,-0.00673,-0.00469,0.22001,0.02988,-0.05788,0.09379,0.01941,-0.00834,0.00822,0.01413,0.14109,0.01775,0.01428
11/4/2016,-0.08263,-1.71789,0.02154,-1.11364,-0.01956,0.02333,0.02181,-0.20868,0.00501,0.0318,0.71736,0.08459,0.00266,0.0655,0.0656,-0.00451,-0.02425,0.06191
11/11/2016,-0.01252,2.44157,-0.00176,-0.20548,0.00127,0.01916,0.02354,0.11647,0.01076,0.04407,0.0878,0.07031,0.03726,0.04266,0.03298,-0.08267,0.12985,0.03664
11/18/2016,0.00467,1.15453,0.03521,3.85156,-0.00104,0.01653,0.01762,-0.11151,-0.00257,-0.00179,-0.01855,-0.12385,-0.08998,-0.10176,-0.10043,-0.0474,-0.07653,-0.09944
11/25/2016,0.05912,1.22537,0.0085,-0.78522,-0.00103,-0.007,-0.01114,-0.00397,-0.00181,-0.02029,-0.10128,0.00007,0.02195,0.01704,0.02319,0.09411,-0.04035,0.02051
12/2/2016,0.02237,-0.32475,0.00675,0.67557,0.00023,0.00816,0.00664,0.09093,-0.00492,0.04174,-0.30226,0.03084,0.08723,0.07381,0.07185,-0.02067,0.00615,0.06925
12/9/2016,0.04233,1.5999,0.04523,1.47222,-0.01126,0.00346,0.0011,-0.12813,-0.0053,0.02841,-0.1656,0.02834,0.04913,0.02978,0.02992,-0.00852,-0.01933,0.02809
12/16/2016,0.01883,1.23656,0.02083,2.12771,0.00114,0.01105,0.01093,0.13115,0.00465,0.00224,-0.11145,-0.0917,-0.05325,-0.07594,-0.07648,-0.13258,-0.12896,-0.07835
12/23/2016,0.01213,0.18713,0.02512,1.9881,0.00228,-0.0061,-0.00549,-0.03722,0.00126,0.00789,-0.01386,-0.00582,-0.00202,0.01405,0.01247,0.02217,0.06913,0.01438
12/30/2016,0.02473,-0.57051,0.00766,1.56528,-0.00046,0.00791,0.01087,-0.13699,-0.01472,0.00022,0.0335,0.03349,0.02892,0.02257,0.02784,0.10037,-0.03208,0.02572
1/6/2017,-0.00965,0.75143,0.01064,5.95333,-0.01967,0.02443,0.01709,0.20647,0.00848,-0.0142,0.05571,0.03064,0.01422,0.01194,0.01439,0.04489,-0.01628,0.01337
1/13/2017,-0.02362,0.13224,-0.00902,1.29762,0.00022,-0.0388,-0.03197,-0.08045,0.00483,0.0617,0.10292,-0.00264,0.0025,-0.00586,-0.01246,-0.08457,0.08216,-0.00938
1/20/2017,-0.00461,-0.12942,0.05311,2.7219,-0.0019,-0.02624,-0.02718,-0.07273,0.00582,0.01444,-0.06575,-0.01453,0.00163,-0.00045,-0.00099,-0.01283,-0.00015,-0.00096
